;segment;time;altitude_m;mach_number;velocity_m_s;pressure_Pa;density_kg_m3;temperature_C;lift_coefficient;drag_coefficient;angle_of_attack_rad;flight_path_angle_rad;mass_kg;mass_flow_kg_s;CG_m;CG_percent;combustion_engine_throttle;battery_energy;battery_voltage;battery_voltage_under_load;battery_voltage_open_circuit;state_of_charge;rpm;etap;propeller_rpm;propeller_torque;propeller_motor_torque;propeller_power_coefficient;power_turboshaft;propeller_tip_mach;motor_torque;gas_turbine_p3;gas_turbine_t3;gas_turbine_far;disc_loading;power_loading;thrust_propeller;co_emissions_index;co2_emissions_index;nox_emissions_index;co_emissions_total;co2_emissions_total;nox_emissions_total;l_over_d;weight;lift;drag;electric_throttle;power
10;climb_3;217,5586457;1912,80604;0,267365332;88,99888889;80365,32991;1,015401467;275,7204925;0,777022141;0,055457034;0,082382898;0,182329686;17938,6008;0,247750835;9,536806646;20,14364296;0,9;0;0;0;0;0;1200;0,875;1200;10635,66077;10635,66077;0,175502705;2673033,099;0,741810418;10635,66077;12,96388819;681,4954924;0,02;114,6694935;0,044810377;29944,90547;1,920767139;3160;15,49106582;0,113919647;183,4319155;0,948044742;14,01124595;175977,6739;172347,9881;12300,68965;0;2673033,099
11;climb_3;242,6050352;2133,6;0,268063451;88,99888889;78192,31283;0,993111781;274,2862429;0,794353404;0,056688402;0,08492862;0,183555165;17932,43112;0,245096962;9,536473389;20,12914557;0,9;0;0;0;0;0;1200;0,875;1200;10540,70486;10540,70486;0,17783967;2649168,076;0,743747362;10540,70486;12,77293325;680,6752518;0,02;113,7671902;0,044858274;29709,27711;1,907584236;3160;15,36270028;0,125731534;202,9281001;1,043200282;14,01262645;175917,1493;172324,4624;12297,79892;0;2649168,076
12;climb_4;242,6050352;2133,6;0,278909949;92,6;78192,31283;0,993111781;274,2862429;0,735066359;0,05243743;0,075907061;0,168967714;17932,43112;0,245399969;9,536473389;20,12914557;0,9;0;0;0;0;0;1200;0,875;1200;10569,69978;10569,69978;0,178328864;2656455,294;0,743747362;10569,69978;12,79571089;680,9576223;0,02;110,0109241;0,04325819;28728,36204;1,905733208;3160;15,38633879;0,125731534;202,9281001;1,043200282;14,01797067;175917,1493;172628,5101;12314,80034;0;2656455,294
13;climb_4;261,0605885;2290,83916;0,279430685;92,6;76674,08469;0,977468684;273,2648977;0,74664547;0,053197295;0,077598621;0,168744943;17927,93131;0,242184941;9,536230186;20,1185657;0,9;0;0;0;0;0;1200;0,875;1200;10433,18742;10433,18742;0,178842726;2622145,995;0,745135967;10433,18742;12,61772479;679,6694504;0,02;108,649589;0,043281895;28372,86165;1,903211371;3160;15,24242251;0,134301593;217,1475117;1,112115306;14,03540287;175873,0061;172585,8271;12296,46407;0;2622145,995
14;climb_4;297,971695;2595,491028;0,280447895;92,6;73800,63477;0,947699234;271,2861785;0,769769948;0,054744846;0,080978752;0,168392525;17919,10676;0,236072434;9,535752887;20,09780218;0,9;0;0;0;0;0;1200;0,875;1200;10168,71599;10168,71599;0,179784693;2555677,075;0,747848483;10168,71599;12,27566302;677,2214657;0,02;106,0285033;0,043336287;27688,38871;1,898460456;3160;14,96412534;0,15107509;245,0330902;1,245386494;14,06104873;175786,4373;172512,0051;12268,78652;0;2555677,075
15;climb_4;316,4272483;2743,2;0,280945065;92,6;72439,29491;0,93351885;270,3268742;0,781310447;0,055534049;0,082666636;0,168345091;17914,77616;0,233254435;9,535518483;20,08760512;0,9;0;0;0;0;0;1200;0,875;1200;10047,77576;10047,77576;0,180344942;2525281,482;0,749174246;10047,77576;12,11515669;676,0759481;0,02;104,8241336;0,043359726;27373,87842;1,89641089;3160;14,83239186;0,15929205;258,7177838;1,30990353;14,06903437;175743,9541;172478,3403;12259,42988;0;2525281,482
16;climb_5;316,4272483;2743,2;0,289685578;95,48088889;72439,29491;0,93351885;270,3268742;0,736231576;0,052340785;0,075806261;0,157418706;17914,77616;0,233448682;9,535518483;20,08760512;0,9;0;0;0;0;0;1200;0,875;1200;10067,80307;10067,80307;0,180704407;2530314,893;0,749174246;10067,80307;12,13113934;676,2842221;0,02;102,1325186;0,042162321;26670,98739;1,894711597;3160;14,84994181;0,15929205;258,7177838;1,30990353;14,06611633;175743,9541;172797,043;12284,6306;0;2530314,893
17;climb_5;336,7744738;2900,073095;0,29023299;95,48088889;71015,90103;0,91863774;269,3081017;0,747923592;0,053113466;0,077508797;0,15756308;17910,05333;0,2307303;9,53526272;20,07647886;0,9;0;0;0;0;0;1200;0,875;1200;9951,128784;9951,128784;0,181503577;2500991,447;0,750589944;9951,128784;11,97034756;675,1647494;0,02;101,0152168;0,042190011;26379,21409;1,892167122;3160;14,71861049;0,168231915;273,641927;1,379732003;14,08161888;175697,6232;172742,9336;12267,26381;0;2500991,447
18;climb_5;377,4689249;3204,831141;0,291305303;95,48088889;68315,58861;0,890249473;267,3290712;0,771301126;0,054689184;0,080914773;0,157904101;17900,77276;0,225438137;9,53475974;20,05459816;0,9;0;0;0;0;0;1200;0,875;1200;9724,485425;9724,485425;0,18302568;2444029,758;0,75336312;9724,485425;11,66170631;672,9786966;0,02;98,84933121;0,042247624;25813,61258;1,888332153;3160;14,46261672;0,185775637;302,9685396;1,515133485;14,10335782;175606,5807;172637,2325;12240,86028;0;2444029,758
19;climb_5;397,8161505;3352,8;0,291830209;95,48088889;67034,92642;0,876711612;266,3682628;0,782976263;0,055491685;0,082616739;0,158106348;17896,21145;0,222923476;9,534512339;20,0438357;0,9;0;0;0;0;0;1200;0,875;1200;9614,453286;9614,453286;0,18374899;2416375,665;0,754720613;9614,453286;11,51421594;671,9673892;0,02;97,80458954;0,042279498;25540,7877;1,88589498;3160;14,34090972;0,19438349;317,3822756;1,580823208;14,10979442;175561,8343;172585,4303;12231,60487;0;2416375,665
20;climb_6;397,8161505;3352,8;0,300949903;98,46466667;67034,92642;0,876711612;266,3682628;0,737436022;0,052280674;0,075685553;0,147418056;17896,21145;0,223163676;9,534512339;20,0438357;0,9;0;0;0;0;0;1200;0,875;1200;9636,437681;9636,437681;0,18416915;2421900,946;0,754720613;9636,437681;11,5311226;672,2049564;0,02;95,3191813;0,041111088;24891,74573;1,883566147;3160;14,36072039;0,19438349;317,3822756;1,580823208;14,10532737;175561,8343;172865,2924;12255,31942;0;2421900,946
21;climb_6;420,3485087;3510,13312;0,301528664;98,46466667;65694,67611;0,862491032;265,3466983;0,749343586;0,053067256;0,077413382;0,147635312;17891,21374;0,220449752;9,534241124;20,03203726;0,9;0;0;0;0;0;1200;0,875;1200;9520,152465;9520,152465;0,184946638;2392675,284;0,756172026;9520,152465;11,37487192;671,0751628;0,02;94,23488647;0,041139877;24608,5919;1,882247518;3160;14,22842814;0,20379745;333,1750213;1,652250205;14,12063931;175512,8068;172807,3779;12237,92875;0;2392675,284
22;climb_6;465,4132252;3814,894131;0,302659229;98,46466667;63160,45027;0,835449622;263,3680274;0,773085842;0,054667576;0,080860275;0,148122279;17881,39723;0,215269355;9,533707961;20,00884352;0,9;0;0;0;0;0;1200;0,875;1200;9294,935595;9294,935595;0,186416025;2336072,11;0,759007252;9294,935595;11,07719585;668,9652849;0,02;92,14249347;0,041201095;24062,18231;1,878946256;3160;13,97657696;0,222255497;364,1951901;1,790689972;14,1415789;175416,5069;172692,9803;12211,71847;0;2336072,11
23;climb_6;487,9455834;3962,4;0,303210976;98,46466667;61962,71662;0,822597704;262,4104086;0,78490781;0,055480256;0,082577525;0,148386206;17876,57462;0,212805964;9,533445816;19,99743967;0,9;0;0;0;0;0;1200;0,875;1200;9185,945122;9185,945122;0,187108483;2308679,817;0,76039092;9185,945122;10,93415457;667,8952215;0,02;91,13055536;0,04123209;23797,92379;1,878665046;3160;13,85196426;0,231315876;379,4346519;1,8577933;14,14751607;175369,197;172636,5869;12202,60759;0;2308679,817
24;climb_7;487,9455834;3962,4;0,31287444;101,6027778;61962,71662;0,822597704;262,4104086;0,738274527;0,052208401;0,075478995;0,137890321;17876,57462;0,213193076;9,533445816;19,99743967;0,9;0;0;0;0;0;1200;0,875;1200;9219,15824;9219,15824;0,187785001;2317027,184;0,76039092;9219,15824;10,95955567;668,2763761;0,02;88,89171129;0,04007423;23213,26982;1,874390628;3160;13,88347775;0,231315876;379,4346519;1,8577933;14,14091425;175369,197;172894,9897;12226,57791;0;2317027,184
25;climb_7;513,1642308;4120,372508;0,313487606;101,6027778;60700,5185;0,8090028;261,3848887;0,750400954;0,05300902;0,077231659;0,138182725;17871,23056;0,2105823;9,533155161;19,98479558;0,9;0;0;0;0;0;1200;0,875;1200;9102,51062;9102,51062;0,188524716;2287710,439;0,761881122;9102,51062;10,81010317;667,1163735;0,02;87,84133175;0,040108175;22938,97266;1,875025228;3160;13,75077649;0,241335384;396,3218815;1,931640893;14,15609923;175316,7718;172830,5186;12208,90839;0;2287710,439
26;climb_7;563,6015256;4425,097099;0,314680555;101,6027778;58324,75358;0,783266588;259,406833;0,774505859;0,054632771;0,080717381;0,1387832;17860,73817;0,205540914;9,532583992;19,95994849;0,9;0;0;0;0;0;1200;0,875;1200;8877,53554;8877,53554;0,18990655;2231168,035;0,764780393;8877,53554;10,51770967;664,9003389;0,02;85,80112443;0,040169437;22406,1909;1,875149399;3160;13,49204526;0,261010101;429,4778327;2,074550936;14,17658016;175213,8415;172707,5566;12182,59655;0;2231168,035
27;climb_7;588,820173;4572;0,315260503;101,6027778;57206,73029;0,771086546;258,4533111;0,786470322;0,055455273;0,082448439;0,139116033;17855,58482;0,203169662;9,532303215;19,94773411;0,9;0;0;0;0;0;1200;0,875;1200;8769,095269;8769,095269;0,190549927;2203914,022;0,766189861;8769,095269;10,3802108;663,8690429;0,02;84,8282077;0,040205057;22152,12246;1,874959872;3160;13,37015533;0,270672997;445,7624332;2,143764496;14,18206557;175163,287;172648,3752;12173,71153;0;2203914,022
28;climb_8;588,820173;4572;0,325316914;104,8437778;57206,73029;0,771086546;258,4533111;0,739593951;0,052178407;0,075311771;0,128859041;17855,58482;0,203611547;9,532303215;19,94773411;0,9;0;0;0;0;0;1200;0,875;1200;8803,658939;8803,658939;0,191300986;2212600,82;0,766189861;8803,658939;10,40765044;664,2760402;0,02;82,77695811;0,03907882;21616,4571;1,870216065;3160;13,40450641;0,270672997;445,7624332;2,143764496;14,17432984;175163,287;172881,1594;12196,77836;0;2212600,82
