;segment;time;altitude_m;mach_number;velocity_m_s;pressure_Pa;density_kg_m3;temperature_C;lift_coefficient;drag_coefficient;angle_of_attack_rad;flight_path_angle_rad;mass_kg;mass_flow_kg_s;CG_m;CG_percent;throttle;battery_energy;battery_voltage;battery_voltage_under_load;battery_voltage_open_circuit;state_of_charge;rpm;rpm_wtp;battery_resistive_losses;emotor_efficiency;emotorWTP_efficiency;combustion_engine_throttle;beta_propeller;eta_propeller;cp_propeller;ct_propeller;j_propeller;rpm_propeller;thrust_propeller;beta_propellerWTP;eta_propellerWTP;cp_propellerWTP;ct_propellerWTP;j_propellerWTP;rpm_propellerWTP;thrust_propellerWTP;power_WTP;propeller_rpm;battery_current;battery_draw;propeller_motor_torque;propeller_torque;battery_specfic_power;propeller_tip_mach;propeller_power_coefficient;gas_turbine_p3;gas_turbine_t3;gas_turbine_far;electric_throttle;electric_throttle_WTP;disc_loading;power_loading;propeller_thrust;power;heat_load_vcs;tms_mdot_air_vcs;heat_load_liquid;tms_mdot_air_liquid;thrust_turboprop;thrust_WTP;power_propeller_turboprop;power_turboshaft;power_motor_turboprop;power_propeller_WTP;propellerWTP_tip_mach;co_emissions_index;co2_emissions_index;nox_emissions_index;co_emissions_total;co2_emissions_total;nox_emissions_total;l_over_d;weight;lift;drag
77;reserve_climb_3;3800,40377;1455,774396;0,265937275;88,99888889;85019,3588;1,062759803;278,6896281;0,758255344;0,043196699;0,071345249;0,180653452;18612,68375;0,241191504;9,298302949;20,20228682;0,9;166575613,5;0;740,2337941;744,844989;0,539600338;956,9428271;2561,188303;279,2725197;0,971240309;0,971309407;0,9;28,22997387;0,860729116;0,140439028;0,099549395;1,214271173;956,9428271;12002,72515;31,40920168;0,840311686;0,264983824;0,18337667;1,214271173;2561,188303;3086,556862;326902,667;956,9428271;60,56402443;-44831,53759;-131,9340232;12384,63874;104,6271741;0,688039548;0,140439028;17,12049498;718,9160865;0,024193176;-1;1;909,7255176;0,024316475;30178,56403;3135954,904;545,7121482;0,030225719;13682,51872;0,283962482;12002,72515;3086,556862;1241074,785;1605376,866;345402,465;326902,667;0,688039548;1,944970112;3160;15,97777573;1,470697557;1718,053317;6,525548037;17,55354853;182590,4276;179024,4367;10198,76046
78;reserve_climb_3;3848,581357;1912,89553;0,267365614;88,99888889;80364,43934;1,015392356;275,7199112;0,793216604;0,044813995;0,07606267;0,180407611;18601,25222;0,233437713;9,297769996;20,17690564;0,9;164402242,6;0;739,7286599;744,3431983;0,532559982;956,9428271;2561,188303;279,6739263;0,971240309;0,971309407;0,9;28,24117343;0,86083143;0,141008207;0,099964735;1,214271173;956,9428271;11515,60677;31,70201282;0,837223449;0,277345162;0,191225715;1,214271173;2561,188303;3075,213431;326902,667;956,9428271;60,60712979;-44832,8309;-131,9340232;11880,60854;104,6301924;0,691734983;0,141008207;16,50237549;715,6603952;0,02426593;-1;1;879,6734956;0,024510739;29181,64039;3034936,347;545,9128515;0,026756043;13682,51872;0,27098874;11515,60677;3075,213431;1190565,506;1554098,411;345402,465;326902,667;0,691734983;1,929343015;3160;15,63235104;1,492839482;1754,176945;6,7062173;17,70019836;182478,2843;178931,7473;10109,02497
79;reserve_climb_3;3872,67015;2133,6;0,268063451;88,99888889;78192,31283;0,993111781;274,2862429;0,810759577;0,045649222;0,078431396;0,180351149;18595,67396;0,229721207;9,297509692;20,16450903;0,9;163315526,7;0;739,4789676;744,0951593;0,529039705;956,9428271;2561,188303;279,8725921;0,971240309;0,971309407;0,9;28,24513872;0,860878434;0,141230472;0,100127773;1,214271173;956,9428271;11281,2911;31,84834951;0,835640312;0,283567432;0,195146177;1,214271173;2561,188303;3069,398393;326902,667;956,9428271;60,62845998;-44833,47099;-131,9340232;11638,23046;104,6316862;0,693540444;0,141230472;16,21295738;714,100021;0,024302849;-1;1;865,1961315;0,02460941;28701,37898;2986358,535;546,0121844;0,025373259;13682,51872;0,265203858;11281,2911;3069,398393;1166276,601;1529439,623;345402,465;326902,667;0,693540444;1,922850232;3160;15,46700196;1,503583359;1771,804232;6,792956131;17,7606438;182423,5616;178875,9437;10071,47858
80;reserve_climb_4;3872,67015;2133,6;0,278909949;92,6;78192,31283;0,993111781;274,2862429;0,750662214;0,042978824;0,070240242;0,166248861;18595,67396;0,230068642;9,297509692;20,16450903;0,9;163315526,7;0;739,4789675;744,0951593;0,529039705;956,9428271;2561,188303;279,872602;0,971240309;0,971309407;0,9;29,00770518;0,864279242;0,141754772;0,096972744;1,263403533;956,9428271;10925,81731;32,43500372;0,842963239;0,283567432;0,189200769;1,263403533;2561,188303;2975,884783;326902,667;956,9428271;60,62846003;-44833,47102;-131,9340232;11681,43587;104,6316863;0,693540444;0,141754772;16,24518905;714,4450035;0,024292327;-1;1;838,1268984;0,023751286;27803,40419;2995017,834;546,0121894;0,025625685;13682,51872;0,266360317;10925,81731;2975,884783;1170606,25;1533835,206;345402,465;326902,667;0,693540444;1,920521586;3160;15,49158188;1,503583359;1771,804232;6,792956131;17,46586198;182423,5616;179290,4717;10265,19458
81;reserve_climb_4;3890,427999;2289,852696;0,279427409;92,6;76683,5343;0,97756623;273,2713051;0,76244402;0,043517858;0,071829046;0,166235326;18591,61212;0,227451367;9,297320052;20,15547769;0,9;162514405,3;0;739,2961127;743,9135155;0,526444575;956,9428271;2561,188303;280,0181927;0,971240309;0,971309407;0,9;29,00994706;0,86430477;0,141900057;0,097074999;1,263403533;956,9428271;10766,13201;32,53615224;0,841893537;0,288076806;0,191965587;1,263403533;2561,188303;2972,10845;326902,667;956,9428271;60,64409015;-44833,94011;-131,9340232;11510,36693;104,632781;0,694827165;0,141900057;16,04451014;713,3462425;0,024319272;-1;1;828,2718756;0,023820854;27476,48093;2960731,917;546,0849847;0,024751202;13682,51872;0,262408089;10766,13201;2972,10845;1153463,291;1516431,187;345402,465;326902,667;0,694827165;1,916332295;3160;15,37562054;1,511375315;1784,639645;6,855639344;17,52025622;182383,7149;179253,9247;10231,23877
82;reserve_climb_4;3925,943695;2594,733766;0,280445353;92,6;73807,66711;0,947772357;271,2910967;0,786040655;0,044619291;0,075012699;0,166248526;18583,62474;0,222351624;9,296946894;20,13770654;0,9;160912130;0;738,9334662;743,5532713;0,521254209;956,9428271;2561,188303;280,3071983;0,971240309;0,971309407;0,9;29,01235911;0,864349442;0,142107401;0,097221869;1,263403533;956,9428271;10453,79836;32,73831292;0,83971916;0,297132698;0,197488778;1,263403533;2561,188303;2964,432321;326902,667;956,9428271;60,6751126;-44834,87127;-131,9340232;11175,86482;104,6349542;0,697358396;0,142107401;15,65234918;711,1970043;0,024371586;-1;1;808,9786407;0,023962355;26836,46137;2893690,457;546,2294875;0,022995165;13682,51872;0,255049689;10453,79836;2964,432321;1119942,561;1482399,989;345402,465;326902,667;0,697358396;1,908320548;3160;15,14686423;1,526649943;1809,879768;6,977542939;17,61661019;182305,3587;179169,2878;10170,47467
83;reserve_climb_4;3943,701544;2743,2;0,280945065;92,6;72439,29491;0,93351885;270,3268742;0,797840417;0,045181293;0,076607067;0,166183764;18579,69874;0,2198211;9,29676336;20,12896597;0,9;160110976,1;0;738,7536613;743,3746579;0,518658974;956,9428271;2561,188303;280,4506212;0,971240309;0,971309407;0,9;29,00962292;0,864363881;0,142054204;0,097187098;1,263403533;956,9428271;10292,9017;32,83911117;0,838618134;0,301669492;0,200241253;1,263403533;2561,188303;2960,545405;326902,667;956,9428271;60,69050581;-44835,33337;-131,9340232;11003,67086;104,6360326;0,698600985;0,142054204;15,45515706;710,1185116;0,024396314;-1;1;799,0439183;0,02403846;26506,89421;2859179,062;546,301199;0,022235566;13682,51872;0,251610118;10292,9017;2960,545405;1102686,864;1464881,515;345402,465;326902,667;0,698600985;1,904298824;3160;15,03089766;1,534134132;1822,285925;7,036782656;17,65864497;182266,8447;179123,9451;10143,69706
84;reserve_climb_5;3943,701544;2743,2;0,289685578;95,48088889;72439,29491;0,93351885;270,3268742;0,751655977;0,043123637;0,070281768;0,155494293;18579,69874;0,220086945;9,29676336;20,12896597;0,9;160110976,1;0;738,7536612;743,3746579;0,518658974;956,9428271;2561,188303;280,4506258;0,971240309;0,971309407;0,9;29,6145087;0,866478619;0,142463142;0,09475733;1,30270942;956,9428271;10035,56954;33,29727308;0,844132247;0,301669492;0,195476398;1,30270942;2561,188303;2890,097546;326902,667;956,9428271;60,69050583;-44835,33338;-131,9340232;11035,34761;104,6360326;0,698600985;0,142463142;15,47900516;710,3851125;0,024387546;-1;1;779,2822193;0,023376653;25851,33416;2865527,767;546,3012013;0,022428262;13682,51872;0,252417261;10035,56954;2890,097546;1105861,217;1468104,208;345402,465;326902,667;0,698600985;1,902231301;3160;15,04994896;1,534134132;1822,285925;7,036782656;17,43025472;182266,8447;179418,6817;10293,52036
85;reserve_climb_5;3963,216556;2900,258534;0,290233639;95,48088889;71014,23199;0,918620257;269,3068974;0,763668451;0,043678472;0,071902836;0,15542838;18575,42933;0,217414283;9,296563684;20,11945665;0,9;159230534,6;0;738,5572215;743,1795201;0,515806897;956,9428271;2561,188303;280,6074159;0,971240309;0,971309407;0,9;29,61053363;0,86647804;0,142361463;0,094689637;1,30270942;956,9428271;9868,350926;33,40200845;0,843008514;0,306562102;0,198382278;1,30270942;2561,188303;2886,250165;326902,667;956,9428271;60,70733214;-44835,83855;-131,9340232;10851,47735;104,6372116;0,69992268;0,142361463;15,26950248;709,2446743;0,024413929;-1;1;768,9687334;0,023458131;25509,20218;2828676,189;546,3795963;0,021575243;13682,51872;0,248919177;9868,350926;2886,250165;1087435,428;1449397,823;345402,465;326902,667;0,69992268;1,897836604;3160;14,92632862;1,542246328;1835,777275;7,100770451;17,4838636;182224,9617;179376,8204;10259,56416
86;reserve_climb_5;4002,246579;3204,953429;0,291305736;95,48088889;68314,52207;0,890238219;267,3282772;0,787683737;0,044810699;0,075145638;0,155364191;18567,04574;0,212254303;9,296171324;20,10077105;0,9;157469612,9;0;738,1679433;742,7928226;0,510102617;956,9428271;2561,188303;280,9184275;0,971240309;0,971309407;0,9;29,60084331;0,866469021;0,142083587;0,094503827;1,30270942;956,9428271;9544,688288;33,61023773;0,840739587;0,31633573;0,20415602;1,30270942;2561,188303;2878,481928;326902,667;956,9428271;60,74070409;-44836,84062;-131,9340232;10495,67934;104,6395502;0,702508131;0,142083587;14,87552518;707,0559938;0,024467737;-1;1;748,9869262;0,023623121;24846,34043;2757366,568;546,5351021;0,020121266;13682,51872;0,242350624;9544,688288;2878,481928;1051780,617;1413200,046;345402,465;326902,667;0,702508131;1,890434794;3160;14,69018292;1,558124472;1862,269418;7,224911942;17,57802843;182142,7187;179301,3536;10200,31082
87;reserve_climb_5;4021,761591;3352,8;0,291830209;95,48088889;67034,92642;0,876711612;266,3682628;0,799680269;0,045387709;0,076765734;0,155415996;18562,92737;0,209835513;9,295978451;20,09158573;0,9;156589133;0;737,9750874;742,6012457;0,507250415;956,9428271;2561,188303;281,072659;0,971240309;0,971309407;0,9;29,59687715;0,866465894;0,141979566;0,0944343;1,30270942;956,9428271;9392,747345;33,71373346;0,839595898;0,32121641;0,207023897;1,30270942;2561,188303;2874,566225;326902,667;956,9428271;60,7572509;-44837,33754;-131,9340232;10328,63694;104,6407099;0,703772942;0,141979566;14,6906085;705,9941567;0,024494228;-1;1;739,5904043;0,023704011;24534,62714;2723887,657;546,6122179;0,019476473;13682,51872;0,239350494;9392,747345;2874,566225;1035041,162;1396205,675;345402,465;326902,667;0,703772942;1,887638798;3160;14,5771316;1,565904019;1875,283464;7,285177956;17,61887291;182102,3175;179266,2747;10174,67324
88;reserve_cruise;4021,761591;3352,8;0,295603876;96,71555556;67034,92642;0,876711612;266,3682628;0,787172855;0,045118938;0,07626895;0,07626895;18562,92737;0,123839345;9,295978451;20,09158573;0,470209142;156589133;0;737,9750874;742,6012457;0,507250415;956,9428271;2561,188303;281,072661;0,971240309;0,971309407;0,470209142;27,38649871;0,750191366;0,041704443;0,023709749;1,319554801;956,9428271;2358,249959;33,90472753;0,841919962;0,32121641;0,204946781;1,319554801;2561,188303;2845,725069;326902,667;956,9428271;60,75725091;-44837,33755;-131,9340232;3033,88766;104,6407099;0,703772942;0,041704443;9,943736126;644,1360908;0,019877288;-1;1;313,7451385;0,034233484;10407,95006;1261862,065;546,6122188;0,019552996;13682,51872;0,239651165;2358,249959;2845,725069;304028,3657;654060,7044;345402,465;326902,667;0,703772942;2,985303238;3160;10,06564448;1,565904019;1875,283464;7,285177956;17,44661749;182102,3175;181055,6481;10377,69345
89;reserve_cruise;4264,934304;3352,8;0,295603876;96,71555556;67034,92642;0,876711612;266,3682628;0,785903204;0,045059049;0,076093004;0,076093004;18532,82264;0,12376026;9,294565969;20,02431822;0,469813345;145616601,5;0;735,6678952;740,30937;0,471706306;956,9428271;2561,188303;282,925329;0,971240309;0,971309407;0,469813345;27,38403785;0,749717531;0,041607333;0,0236396;1,319554801;956,9428271;2351,272663;33,90472753;0,841919962;0,32121641;0,204946781;1,319554801;2561,188303;2845,725069;326902,667;956,9428271;60,955911;-44843,30674;-131,9340232;3026,82317;104,6546407;0,703772942;0,041607333;9,938913427;644,0675976;0,019872676;-1;1;313,3244808;0,034267377;10393,99547;1260446,189;547,5385528;0,019601584;13682,51872;0,239651165;2351,272663;2845,725069;303320,4274;653341,9853;345402,465;326902,667;0,703772942;2,987110445;3160;10,06085938;1,655802979;1970,414415;7,588129425;17,44162855;181806,9901;180763,6187;10363,91861
90;reserve_cruise;4751,279729;3352,8;0,295603876;96,71555556;67034,92642;0,876711612;266,3682628;0,783366245;0,044939674;0,075741441;0,075741441;18472,67079;0,123602494;9,29172992;19,88925523;0,469024536;123666152,6;0;731,5346392;736,2034806;0,400600642;956,9428271;2561,188303;286,2702496;0,971240309;0,971309407;0,469024536;27,37913303;0,748766048;0,041413797;0,023499778;1,319554801;956,9428271;2337,365538;33,90472753;0,841919962;0,32121641;0,204946781;1,319554801;2561,188303;2845,725069;326902,667;956,9428271;61,31505125;-44854,08389;-131,9340232;3012,743892;104,6797923;0,703772942;0,041413797;9,929301958;643,9310933;0,019863484;-1;1;312,4860269;0,034335389;10366,18121;1257624,397;549,2110132;0,019689308;13682,51872;0,239651165;2337,365538;2845,725069;301909,5314;651909,6035;345402,465;326902,667;0,703772942;2,990714931;3160;10,05132554;1,83559165;2160,494261;8,193021811;17,43150726;181216,9005;180180,0993;10336,46125
91;reserve_cruise;4994,452441;3352,8;0,295603876;96,71555556;67034,92642;0,876711612;266,3682628;0,782098935;0,044880186;0,075565824;0,075565824;18442,62361;0,123523813;9,290306322;19,8214583;0,46863152;112688470;0;729,6748202;734,3557046;0,365039847;956,9428271;2561,188303;287,7712243;0,971240309;0,971309407;0,46863152;27,37668903;0,748288395;0,041317369;0,023430105;1,319554801;956,9428271;2330,435649;33,90472753;0,841919962;0,32121641;0,204946781;1,319554801;2561,188303;2845,725069;326902,667;956,9428271;61,47796074;-44858,91995;-131,9340232;3005,729035;104,6910786;0,703772942;0,041317369;9,924513142;643,8630814;0,019858904;-1;1;312,0682272;0,034369508;10352,32144;1256218,468;549,9615005;0,019728672;13682,51872;0,239651165;2330,435649;2845,725069;301206,5669;651195,9339;345402,465;326902,667;0,703772942;2,992512211;3160;10,04657675;1,92548122;2255,443364;8,494964477;17,42637474;180922,1376;179888,6085;10322,77862
92;reserve_descent_3;4994,452441;3352,8;0,291830209;95,48088889;67034,92642;0,876711612;266,3682628;0,804441277;0,049632421;0,082035863;0,022550348;18442,62361;0,067856702;9,290306322;19,8214583;0,15;112688470;0;734,3069488;734,3557046;0,365039847;956,9428271;2561,188303;0,047152324;3,76E-17;3,79E-17;0,15;26,3414763;0,29034653;0,01304052;0,002906458;1,30270942;956,9428271;289,0858776;25,99732101;0;0;-0,006898406;1,30270942;2561,188303;-95,78567425;0;956,9428271;0,967112114;-710,1571455;0;948,6632569;1,657354159;0,703772942;0,01304052;5,566324269;562,1083666;0,016495722;0;0;11,6539758;0,004066639;386,6004066;190132,6429;0,023576162;5,66E-07;0;0,001605232;289,0858776;-95,78567425;95066,32147;96514,03195;0;0;0,703772942;6,268920505;3160;6,331956408;1,92548122;2255,443364;8,494964477;16,20797991;180922,1376;180333,5615;11126,2207
