mission_phase,B_Fuel_kW,B_Eng_Air_kW,W_Bat_Power_out_kW,W_Electric_Motor_in_kW,W_Mec_Engine_out_kW,W_Mec_Hydraulic_Electric_MT_kW,W_Mec_Motor_out_kW,B_Thrust_kW,B_Eng_Gases_kW,B_Bleed_MT_kW,B_Bat_Heat_kW,B_Inverter_Heat_kW,B_Motor_Heat_kW,B_Prop_Air_kW,B_Dest_Engine_kW,B_Dest_Bat_kW,B_Dest_Inverter_kW,B_Dest_Motor_kW,B_Dest_Prop_kW,P_dissipada_Bat_kW,P_loss_Inv_kW,T0_env_K,I_bat_A,Voc_bat_V,Vload_bat_V,eta_ex_engine,eta_ex_bat,eta_ex_inverter,eta_ex_motor,eta_ex_prop
climb_7,8855.435343,126.435842,44.728579,345.402465,1286.992808,29.828000,335.468797,1081.390737,3472.053875,2.065724,0,0,0,328.736376,4190.930777,0.247317,0.000000,9.933668,212.334492,0.247317,0.000000,532.557447,57.728704,779.090685,774.806559,0.146609,0.994501,1,0.971240,0.666512
climb_7,8750.987997,124.975781,44.731227,345.402465,1270.897358,29.828000,335.468797,1067.159218,3436.057857,2.098864,0,0,0,328.889235,4137.081699,0.248139,0.000000,9.933668,210.317702,0.248139,0.000000,531.603311,57.772369,778.561909,774.266796,0.146545,0.994483,1,0.971240,0.664331
climb_8,8763.432382,133.322217,44.731259,345.402465,1274.181947,29.828000,335.468797,1072.385314,3449.447686,2.099042,0,0,0,327.629811,4141.197924,0.248149,0.000000,9.933668,209.635619,0.248149,0.000000,531.603311,57.772422,778.561909,774.266629,0.146571,0.994483,1,0.971240,0.666222
climb_8,8650.293510,131.634219,44.734166,345.402465,1256.338834,29.828000,335.468797,1056.591058,3410.265821,2.134904,0,0,0,327.745461,4083.360170,0.249051,0.000000,9.933668,207.471111,0.249051,0.000000,530.570959,57.822086,777.959075,773.651879,0.146456,0.994463,1,0.971240,0.663768
climb_8,8433.211523,128.388448,44.739596,345.402465,1221.445257,29.828000,335.468797,1025.658971,3334.771118,2.203617,0,0,0,327.953671,3973.351979,0.250736,0.000000,9.933668,203.301412,0.250736,0.000000,528.593328,57.919892,776.768229,772.439209,0.146149,0.994427,1,0.971240,0.658777
climb_8,8329.632695,126.832275,44.742137,345.402465,1204.758083,29.828000,335.468797,1010.843664,3298.664927,2.236505,0,0,0,328.057250,3920.977455,0.251525,0.000000,9.933668,201.325966,0.251525,0.000000,527.646970,57.968065,776.180165,771.841136,0.145993,0.994410,1,0.971240,0.656295
cruise,6530.584780,158.287514,44.742164,345.402465,892.612738,29.828000,335.468797,726.816609,2530.367901,2.238074,0,0,0,283.262050,3233.825581,0.251533,0.000000,9.933668,218.002875,0.251533,0.000000,527.646970,57.968110,776.180165,771.840996,0.137907,0.994410,1,0.971240,0.591831
cruise,6522.249914,158.156326,44.773725,345.402465,890.989045,29.828000,335.468797,725.296196,2526.729714,2.238074,0,0,0,282.979190,3230.621407,0.261329,0.000000,9.933668,218.182456,0.261329,0.000000,527.646970,58.713388,767.032118,762.581187,0.137838,0.994197,1,0.971240,0.591375
cruise,6505.700394,157.895358,44.812466,345.402465,887.768050,29.828000,335.468797,722.279448,2519.509096,2.238074,0,0,0,282.412653,3224.252533,0.273353,0.000000,9.933668,218.544745,0.273353,0.000000,527.646970,59.928817,752.322861,747.761563,0.137703,0.993937,1,0.971240,0.590466
cruise,6497.483958,157.765559,44.827300,345.402465,886.170350,29.828000,335.468797,720.782750,2515.925827,2.238074,0,0,0,282.128930,3221.087267,0.277957,0.000000,9.933668,218.727467,0.277957,0.000000,527.646970,60.422769,746.494364,741.894159,0.137635,0.993838,1,0.971240,0.590013
descent_5,2738.512659,60.757210,0.710152,0.000000,65.122467,29.828000,0.000000,0.000000,933.290087,2.236505,0,0,0,1.649924,1768.792811,0.000046,0.710152,0.000000,63.472542,0.000046,0.710152,527.646970,0.951377,746.494364,746.446401,0.033920,0.999936,0,0.000000,0.000000
descent_5,2774.927651,61.785952,0.710152,0.000000,66.625842,29.828000,0.000000,0.000000,942.548449,2.202028,0,0,0,2.119292,1795.509284,0.000046,0.710152,0.000000,64.506549,0.000046,0.710152,528.639042,0.951383,746.490314,746.442351,0.034002,0.999936,0,0.000000,0.000000
descent_5,2833.119438,63.247722,0.710152,0.000000,73.023101,29.828000,0.000000,0.000000,957.723006,2.133299,0,0,0,6.352143,1833.659754,0.000046,0.710152,0.000000,66.670958,0.000046,0.710152,530.617151,0.951393,746.482216,746.434253,0.035510,0.999936,0,0.000000,0.000000
descent_5,2860.387269,63.921887,0.710152,0.000000,76.366315,29.828000,0.000000,0.000000,964.754873,2.099042,0,0,0,8.592037,1851.260925,0.000046,0.710152,0.000000,67.774278,0.000046,0.710152,531.603311,0.951398,746.478168,746.430204,0.036314,0.999936,0,0.000000,0.000000
descent_6,2860.188363,59.968840,0.710152,0.000000,75.728066,29.828000,0.000000,1.970290,961.007272,2.098864,0,0,0,8.911883,1851.495002,0.000046,0.710152,0.000000,64.845893,0.000046,0.710152,531.603311,0.951398,746.478168,746.430204,0.036147,0.999936,0,0.000000,0.026018
descent_6,2887.347264,60.601343,0.710152,0.000000,79.084122,29.828000,0.000000,4.056782,967.919853,2.064493,0,0,0,9.087698,1869.052138,0.000046,0.710152,0.000000,65.939642,0.000046,0.710152,532.592880,0.951403,746.473918,746.425954,0.036945,0.999936,0,0.000000,0.051297
descent_6,2956.302122,62.363728,0.710152,0.000000,83.071403,29.828000,0.000000,5.554649,985.278013,1.995803,0,0,0,9.404362,1918.492630,0.000046,0.710152,0.000000,68.112392,0.000046,0.710152,534.570877,0.951414,746.465421,746.417457,0.037400,0.999936,0,0.000000,0.066866
