time;total_energy_consumption;power;emotor_efficiency;total_thrust;altitude_m;global_efficiency;specific_energy_consumption;co2_emissions_total;eta_propeller;battery_resistive_losses
364,4858323;331764,74;2572234,047;0,970731783;24630,49471;2900,510707;0,866289447;10,32283312;252,9865532;0,866289447;26,34453557
408,9625172;663646,22;2507460,304;0,970731783;24031,19069;3205,197157;0,866264209;18,23925628;280,4089002;0,866264209;26,56989449
431,2008597;331878,34;2477100,712;0,970731783;23749,82638;3352,8;0,866247989;8,618216921;293,8800759;0,866247989;26,67555811
431,2008597;0;2482516,339;0,970731783;23160,47316;3352,8;0,868827841;0;293,8800759;0,868827841;26,67604549
456,0550031;370957,11;2452474,939;0,970731783;22889,25939;3510,073619;0,868800083;9,05741297;308,7814917;0,868800083;26,78900462
505,7632899;742036,54;2393993,796;0,970731783;22360,98268;3814,852273;0,868747113;16,18375666;338,081447;0,868747113;27,00009934
530,6174333;371076,03;2365484,546;0,970731783;22103,33044;3962,4;0,868722488;7,683059154;352,4852823;0,868722488;27,0988596
530,6174333;0;2371380,211;0,970731783;21541,36958;3962,4;0,870948293;0;352,4852823;0,870948293;27,09927823
558,7550357;420142,57;2341004,107;0,970731783;21274,84015;4120,429196;0,87092099;8,212837295;368,6251435;0,87092099;27,20606891
615,0302405;840415,86;2281627,881;0,970731783;20753,65367;4425,191107;0,870869227;14,77666504;400,3234474;0,870869227;27,40522317
643,1678429;420269,59;2252862,111;0,970731783;20501,01299;4572;0,870844491;7,035756872;415,890511;0,870844491;27,49826506
643,1678429;0;2258739,866;0,970731783;19974,04471;4572;0,872662419;0;415,890511;0,872662419;27,49861538
675,8184602;487725,71;2226749,901;0,970731783;19701,52769;4731,34718;0,872630944;7,722481889;433,7567902;0,872630944;27,60162203
741,1196949;975597,53;2164310,065;0,970731783;19169,44083;5036,054952;0,872567904;13,93650442;468,8070706;0,872567904;27,79339655
773,7703122;487867,64;2134506,212;0,970731783;18915,26376;5181,6;0,872536421;6,644322472;486,0051862;0,872536421;27,88292257
773,7703122;0;1655707,269;0,970731783;12487,24165;5181,6;0,860264787;0;486,0051862;0,860264787;27,88320764
