mission_phase;B_Fuel_kW;B_Eng_Air_kW;B_Electric_Input_kW;W_Bat_Power_out_kW;W_Electric_Motor_in_kW;W_Mec_Engine_out_kW;W_Mec_Hydraulic_Electric_MT_kW;W_Mec_Motor_out_kW;B_Thrust_kW;B_Eng_Gases_kW;B_Bleed_MT_kW;B_Bat_Heat_kW;B_Inverter_Heat_kW;B_Motor_Heat_kW;B_Prop_Air_kW;B_Dest_Engine_kW;B_Dest_Bat_kW;B_Dest_Inverter_kW;B_Dest_Motor_kW;B_Dest_Prop_kW;P_dissipada_Bat_kW;P_loss_Inv_kW;T0_env_K;I_bat_A;Voc_bat_V;Vload_bat_V;eta_ex_engine;eta_ex_bat;eta_ex_inverter;eta_ex_motor;eta_ex_prop;eta_ex_global
climb_7;7751,576572;110,675294;26,334234;26,248627;227,842492;2197,382012;29,828;221,252685;2080,974717;3038,608362;2,065834;0;0;0;0;2594,367658;0,085607;0;6,589806;483,726939;0,085607;0;532,554269;33,89219;777,000081;774,474219;0,283279;0,996749;1;0,971077;0,860392;0,263796
climb_7;7660,450122;109,401446;26,33641;26,250514;227,842492;2169,717854;29,828;221,252685;2056,06252;3007,2014;2,098864;0;0;0;0;2561,00545;0,085896;0;6,589806;478,194108;0,085896;0;531,603311;33,922128;776,378495;773,846338;0,283087;0,996739;1;0,971077;0,859928;0,263727
climb_8;7671,343681;116,707758;26,336424;26,250526;227,842492;2175,382131;29,828;221,252685;2066,766819;3018,921235;2,099042;0;0;0;0;2561,821031;0,085898;0;6,589806;479,326963;0,085898;0;531,603311;33,922145;776,378495;773,846287;0,283153;0,996738;1;0,971077;0,862362;0,264482
climb_8;7571,829019;115,223015;26,338855;26,252634;227,842492;2144,461355;29,828;221,252685;2038,905028;2984,455667;2,135076;0;0;0;0;2526,171936;0,086221;0;6,589806;473,142808;0,086221;0;530,56602;33,956881;775,65592;773,116786;0,282851;0,996726;1;0,971077;0,861856;0,264333
climb_8;7381,815135;112,381926;26,343371;26,25655;227,842492;2084,291877;29,828;221,252685;1984,635204;2918,370354;2,203783;0;0;0;0;2459,503047;0,086821;0;6,589806;461,108912;0,086821;0;528,588534;34,025123;774,232959;771,681283;0,282101;0,996704;1;0,971077;0,86081;0,263895
climb_8;7291,603652;111,026586;26,345476;26,258375;227,842492;2055,660615;29,828;221,252685;1958,7761;2886,921865;2,236505;0;0;0;0;2427,983254;0,087101;0;6,589806;455,38266;0,087101;0;527,64697;34,058655;773,532475;770,9751;0,281723;0,996694;1;0,971077;0,860277;0,263667
cruise;6108,335383;144,185318;26,345487;26,258384;227,842492;1664,410158;29,828;221,252685;1612,503498;2388,718294;2,238074;0;0;0;0;2167,326175;0,087102;0;6,589806;377,132569;0,087102;0;527,64697;34,058669;773,532475;770,975059;0,270969;0,996694;1;0,971077;0,855139;0,256814
cruise;6100,074736;144,087001;26,366438;26,276552;227,842492;1661,488864;29,828;221,252685;1609,773147;2384,918201;2,238074;0;0;0;0;2165,688597;0,089886;0;6,589806;376,54831;0,089886;0;527,64697;34,454922;765,244455;762,635653;0,270864;0,996591;1;0,971077;0,855015;0,256721
cruise;6083,715855;143,88946;26,394528;26,300909;227,842492;1655,690673;29,828;221,252685;1604,352718;2377,41031;2,238074;0;0;0;0;2162,438258;0,093619;0;6,589806;375,388672;0,093619;0;527,64697;35,110369;751,758781;749,092374;0,270653;0,996453;1;0,971077;0,854769;0,256532
cruise;6075,721207;143,78573;26,405587;26,310499;227,842492;1652,813278;29,828;221,252685;1601,662188;2373,783479;2,238074;0;0;0;0;2160,844106;0,095088;0;6,589806;374,813193;0,095088;0;527,64697;35,380099;746,340101;743,652489;0,270543;0,996399;1;0,971077;0,854646;0,256434
descent_5;2397,242451;53,185719;0,519515;0,51949;0;112,303753;29,828;0;0;816,586783;2,236505;0;0;0;89,843002;1489,473128;0,000024;0,51949;0;22,460751;0,000024;0,51949;527,64697;0,696083;746,340101;746,304941;0,058003;0,999953;0;0;0;0
descent_5;2429,104301;54,085874;0,519515;0,51949;0;114,893381;29,828;0;0;824,690666;2,202047;0;0;0;91,914705;1511,57608;0,000024;0,51949;0;22,978676;0,000024;0,51949;528,638486;0,696088;746,335134;746,299973;0,05828;0,999953;0;0;0;0
descent_5;2480,044448;55,365498;0,519515;0,51949;0;125,924808;29,828;0;0;837,978231;2,133321;0;0;0;100,739846;1539,545587;0,000024;0,51949;0;25,184962;0,000024;0,51949;530,616536;0,696097;746,325201;746,29004;0,061431;0,999953;0;0;0;0
descent_5;2503,929189;55,956017;0,519515;0,51949;0;131,69378;29,828;0;0,946041;844,139493;2,099042;0;0;0;104,408983;1552,124891;0,000024;0,51949;0;26,338756;0,000024;0,51949;531,603311;0,696102;746,320236;746,285074;0,063097;0,999953;0;0;0,007184;0,000369
