mission_phase;B_Fuel_kW;B_Eng_Air_kW;B_Electric_Input_kW;W_Bat_Power_out_kW;W_Electric_Motor_in_kW;W_Mec_Engine_out_kW;W_Mec_Hydraulic_Electric_MT_kW;W_Mec_Motor_out_kW;B_Thrust_kW;B_Eng_Gases_kW;B_Bleed_MT_kW;B_Bat_Heat_kW;B_Inverter_Heat_kW;B_Motor_Heat_kW;B_Prop_Air_kW;B_Dest_Engine_kW;B_Dest_Bat_kW;B_Dest_Inverter_kW;B_Dest_Motor_kW;B_Dest_Prop_kW;P_dissipada_Bat_kW;P_loss_Inv_kW;T0_env_K;I_bat_A;Voc_bat_V;Vload_bat_V;eta_ex_engine;eta_ex_bat;eta_ex_inverter;eta_ex_motor;eta_ex_prop;eta_ex_global
cruise;8579,70493;312,300678;0;0;0;2062,436232;29,828;0;2085,788848;3293,444811;2,240661;0;0;0;0;3504,055903;0;0;0;350,614159;0;0;527,64697;0;0;0;0,235297;0;0;0;1;0,234569
descent_5;2722,693816;102,769854;0;0;0;117,635533;29,828;0;81,766318;735,170547;2,236505;0;0;0;0;1940,593084;0;0;0;70,58132;0;0;527,64697;0;0;0;0,052191;0;0;0;0,695082;0,028939
descent_5;2749,994806;103,660292;0;0;0;117,635533;29,828;0;81,617336;741,399395;2,202195;0;0;0;0;1962,589975;0;0;0;70,58132;0;0;528,634249;0;0;0;0,051675;0;0;0;0,693815;0,028601
descent_5;2805,616253;105,473676;0;0;0;117,635533;29,828;0;81,179745;754,068476;2,133403;0;0;0;0;2007,424517;0;0;0;70,58132;0;0;530,614176;0;0;0;0,050656;0;0;0;0,690095;0,027886
descent_5;2865,440804;107,579842;0;0;0;124,925175;29,828;0;84,570051;768,983067;2,099042;0;0;0;0;2047,185361;0;0;0;74,955105;0;0;531,603311;0;0;0;0,052053;0;0;0;0,676966;0,028446
descent_6;2857,062183;100,734596;0;0;0;122,029576;29,828;0;83,897877;760,453455;2,098864;0;0;0;0;2043,386884;0;0;0;73,217746;0;0;531,603311;0;0;0;0,051341;0;0;0;0,687521;0,028365
descent_6;2929,422968;103,148841;0;0;0;132,131284;29,828;0;88,716103;778,537922;2,06427;0;0;0;0;2090,010333;0;0;0;79,27877;0;0;532,599315;0;0;0;0,053407;0;0;0;0,671424;0,029254
descent_6;3063,505833;107,589005;0;0;0;150,305752;29,828;0;97,433766;811,73657;1,995663;0;0;0;0;2177,228853;0;0;0;90,183451;0;0;534,574906;0;0;0;0,056805;0;0;0;0,648237;0,030726
descent_6;3093,956388;108,518411;0;0;0;150,136109;29,828;0;97,151164;818,564867;1,961445;0;0;0;0;2201,984379;0;0;0;90,081665;0;0;535,560409;0;0;0;0,056195;0;0;0;0,647087;0,030336
descent_7;3086,512054;101,671897;0;0;0;147,353653;29,828;0;96,675186;810,280817;1,961291;0;0;0;0;2198,76019;0;0;0;88,412192;0;0;535,560409;0;0;0;0,055574;0;0;0;0,656076;0,030323
descent_7;3117,547497;102,561826;0;0;0;147,189052;29,828;0;96,376351;817,188122;1,926841;0;0;0;0;2223,977307;0;0;0;88,313431;0;0;536,552682;0;0;0;0,054972;0;0;0;0,654779;0,02993
descent_7;3233,756828;106,113792;0;0;0;160,898832;29,828;0;102,979446;845,117711;1,85807;0;0;0;0;2302,168007;0;0;0;96,539299;0;0;538,533742;0;0;0;0,057106;0;0;0;0,640026;0,030833
descent_7;3324,912965;108,968035;0;0;0;175,222663;29,828;0;110,105839;867,666568;1,823896;0;0;0;0;2359,339872;0;0;0;105,133598;0;0;539,518263;0;0;0;0,059714;0;0;0;0,628377;0,032065
descent_8;3319,421015;102,293434;0;0;0;172,870289;29,828;0;109,455624;860,025241;1,823766;0;0;0;0;2357,167153;0;0;0;103,722174;0;0;539,518263;0;0;0;0,059239;0;0;0;0,633166;0,031989
descent_8;3349,267818;103,083142;0;0;0;172,713904;29,828;0;109,140147;866,451328;1,789257;0;0;0;0;2381,568472;0;0;0;103,628342;0;0;540,512515;0;0;0;0,058668;0;0;0;0,631913;0,031613
descent_8;3462,992995;106,318864;0;0;0;184,820518;29,828;0;114,883128;893,219849;1,720636;0;0;0;0;2459,722855;0;0;0;110,892311;0;0;542,489685;0;0;0;0,060137;0;0;0;0,621593;0,032186
descent_8;3501,828107;107,379083;0;0;0;184,820518;29,828;0;114,733103;901,895709;1,686376;0;0;0;0;2490,976586;0;0;0;110,892311;0;0;543,476874;0;0;0;0,059472;0;0;0;0,620781;0,031789
descent_9;3505,583341;101,104172;0;0;0;184,820518;29,828;0;115,188651;896,776643;1,686264;0;0;0;0;2493,576088;0;0;0;110,892311;0;0;543,476874;0;0;0;0,059514;0;0;0;0,623246;0,031938
descent_9;3535,398538;101,839665;0;0;0;184,820518;29,828;0;115,662482;903,06409;1,652032;0;0;0;0;2517,873563;0;0;0;110,892311;0;0;544,463275;0;0;0;0,059014;0;0;0;0,62581;0,0318
descent_9;3609,318051;103,716309;0;0;0;184,820518;29,828;0;114,856976;919,212795;1,583186;0;0;0;0;2577,58986;0;0;0;110,892311;0;0;546,447165;0;0;0;0,057809;0;0;0;0,621451;0,030933
descent_9;3698,549619;106,15276;0;0;0;197,943651;29,828;0;121,129016;940,568234;1,548863;0;0;0;0;2634,813632;0;0;0;118,76619;0;0;547,436243;0;0;0;0,059866;0;0;0;0,611937;0,031837
descent_10;3692,55481;97,896634;0;0;0;194,820557;29,828;0;120,058951;931,362239;1,548739;0;0;0;0;2632,891909;0;0;0;116,892334;0;0;547,436243;0;0;0;0,059267;0;0;0;0,616254;0,031674
descent_10;3800,050006;100,565257;0;0;0;210,152344;29,828;0;127,394762;956,370378;1,496926;0;0;0;0;2702,767615;0;0;0;126,091406;0;0;548,929303;0;0;0;0,061524;0;0;0;0,606202;0,03266
descent_10;3973,22864;104,777149;0;0;0;226,964153;29,828;0;135,352626;995,584345;1,393816;0;0;0;0;2824,235475;0;0;0;136,178492;0;0;551,900459;0;0;0;0,06297;0;0;0;0,596361;0,033191
descent_10;4071,954849;107,194648;0;0;0;238,568506;29,828;0;140,939922;1018,114537;1,34258;0;0;0;0;2891,295874;0;0;0;143,141104;0;0;553,376716;0;0;0;0,064223;0;0;0;0,590773;0,033725
descent_11;6471,119676;158,739555;0;0;0;1016,415413;29,828;0;947,417439;1607,807419;1,342488;0;0;0;0;3974,465911;0;0;0;193,118928;0;0;553,376716;0;0;0;0,157808;0;0;0;0,932116;0,142902
descent_11;6583,465619;161,262771;0;0;0;1034,32495;29,828;0;963,213649;1632,74379;1,299525;0;0;0;0;4046,532124;0;0;0;196,52174;0;0;554,614529;0;0;0;0,157776;0;0;0;0,931249;0,14281
